"Nom du pouvoir","Type du pouvoir","Description"
"Pyrokinésie","Élémentaire","Capacité de contrôler et manipuler le feu. Avantages : peut être utilisé pour attaquer ou se défendre, fournir de la chaleur dans des environnements froids. Inconvénients : peut être dangereux s'il n'est pas maîtrisé, risque de causer des incendies accidentels. Activation : concentration intense sur la chaleur et les flammes."
"Télépathie","Mental","Capacité de lire et de contrôler les pensées des autres. Avantages : communication silencieuse, capacité à influencer les autres. Inconvénients : violation de la vie privée, risque de surcharge mentale. Activation : focalisation sur la personne ciblée et la connexion mentale."
"Invisibilité","Transformation","Capacité de devenir invisible à volonté. Avantages : permet de se cacher ou de se déplacer discrètement. Inconvénients : peut entraîner la solitude, risque de confusion avec des objets invisibles. Activation : concentration sur la dissimulation de soi-même."
"Portail","Dimensionnel","Capacité de créer des portails vers d'autres endroits ou dimensions. Avantages : facilite les déplacements rapides, permet l'accès à des lieux inaccessibles. Inconvénients : risque de manipulation par des entités inter-dimensionnelles, nécessite une concentration intense. Activation : visualisation de l'endroit de destination et ouverture du portail."
"Techno-interface","Technologique","Capacité de se connecter et de contrôler les systèmes technologiques avec l'esprit. Avantages : accès aux informations, contrôle des appareils à distance. Inconvénients : risque de piratage ou de corruption des systèmes, dépendance à la technologie. Activation : focalisation sur l'appareil ciblé et établissement de la connexion mentale."
"Cryokinésie","Élémentaire","Capacité de contrôler et manipuler la glace et le froid. Avantages : peut être utilisé pour congeler des objets ou des ennemis, créer des obstacles glacés. Inconvénients : risque d'hypothermie si mal utilisé, limitation dans les environnements chauds. Activation : concentration sur la baisse de température et la formation de glace."
"Téléportation",Dimensionnel,"Capacité de se déplacer instantanément d'un endroit à un autre. Avantages : permet d'échapper rapidement à des situations dangereuses, facilite les voyages à longue distance. Inconvénients : risque de se retrouver dans des endroits dangereux ou inconnus, fatigue mentale importante. Activation : visualisation de l'endroit de destination et ouverture du portail spatial."
"Clairvoyance","Sensoriel","Capacité de voir des événements ou des informations éloignés dans le temps ou l'espace. Avantages : permet de prédire des événements futurs, d'obtenir des informations cachées. Inconvénients : surcharge sensorielle, risque de visions ambiguës ou trompeuses. Activation : méditation et ouverture de l'esprit à la perception extrasensorielle."
"Régénération","Physique","Capacité de guérir rapidement de blessures ou de régénérer des parties du corps. Avantages : permet de récupérer rapidement après des combats, de survivre à des blessures mortelles. Inconvénients : épuisement physique, risque de devenir insensible à la douleur. Activation : concentration sur la zone blessée et stimulation du processus de guérison."
"Contrôle des rêves","Mental","Capacité d'entrer et de manipuler les rêves des autres. Avantages : exploration de l'inconscient, possibilité d'influencer les comportements et les émotions. Inconvénients : risque de cauchemars, intrusion dans la sphère privée. Activation : concentration sur le rêve et projection de son propre esprit dans celui-ci."
"Electrokinésie","Élémentaire","Capacité de contrôler et manipuler l'électricité. Avantages : peut être utilisé pour attaquer ou alimenter des appareils électriques. Inconvénients : risque de surcharge électrique, nécessite une source d'électricité pour être activé. Activation : concentration sur les flux électriques et les décharges."
"Lévitation","Physique","Capacité de soulever et de manipuler des objets ou soi-même sans contact physique. Avantages : facilite les déplacements dans des environnements difficiles, permet de contourner les obstacles. Inconvénients : fatigue mentale, risque de chute en cas de perte de concentration. Activation : visualisation de la force de gravité et levée du corps ou de l'objet visé."
"Changement de forme","Transformation","Capacité de changer l'apparence physique ou la forme de son propre corps. Avantages : permet de se métamorphoser en d'autres personnes ou créatures, camouflage efficace. Inconvénients : risque de perdre son identité, limitation dans les capacités physiques. Activation : concentration sur la transformation et visualisation de la nouvelle forme."
"Manipulation temporelle","Cosmique","Capacité de manipuler le temps, que ce soit en accélérant, en ralentissant ou en figeant. Avantages : permet de gagner du temps en situations critiques, possibilité de corriger des erreurs passées. Inconvénients : risque de créer des paradoxes temporels, altération de la réalité. Activation : focalisation sur le flux temporel et intention de modifier sa trajectoire."
"Création d'illusions","Magique","Capacité de créer des illusions visuelles ou sensorielles. Avantages : permet de manipuler les perceptions, de distraire ou de tromper les ennemis. Inconvénients : risque de confondre la réalité avec l'illusion, effet temporaire. Activation : concentration sur l'image mentale à projeter et manipulation de l'énergie magique."
